Name,SALARY,POS,Starting,Team,Opponent,,Away,Home,Projecte Points,HR Forecasts,Pojected Points with HR Forecast,Secondary Name,qAB,HH%,AB,H,2B,3B,HR,BB,BA,OBP,OPS,BVP Points,BWAR,roba,WHIP,K,,,,,,17.22820339
Kyle Freeland,"5,500.00",P,YES,COL,BAL,Col,Col,BAL,10.1,10,5.1,K. Freeland,,,,,,,,,,,,0,1,0.3,1.53,70,,,,,,
Byron Buxton,"6,000.00",OF,YES,MIN,WAS,#N/A,WAS,MIN,10,10,15,B. Buxton,,,,,,,,,,,,0,3.9,0.403,,,,,,,,
Jazz Chisholm,"5,400.00",2B,YES,NYY,PHI,#N/A,PHI,NYY,9.9,10,14.9,J. Chisholm,60%,5%,15,7,3,0,0,5,0.467,0.6,1.267,32.98,1,0.3,,,,,,,,
Chandler Simpson,"4,600.00",OF,YES,TB,CIN,TB,TB,CIN,9.7,10,14.7,C. Simpson,,,,,,,,,,,,0,0.6,0.328,,,,,,,,
Cody Bellinger,"5,200.00",OF,YES,NYY,PHI,#N/A,PHI,NYY,9.7,10,14.7,C. Bellinger,36%,23%,21,5,0,0,1,1,0.238,0.273,0.654,29.76,3.2,0.359,,,,,,,,
Jordan Westburg,"4,600.00",2B/3B,YES,BAL,COL,#N/A,COL,BAL,9.5,10,14.5,J. Westburg,33%,33%,3,1,0,0,0,0,0.333,0.333,0.666,5.99,1.2,0.333,,,,,,,,
Jarren Duran,"4,200.00",OF,YES,BOS,LAD,#N/A,LAD,BOS,9.5,10,14.5,J. Duran,,,,,,,,,,,,0,2.6,0.339,,,,,,,,
Nick Martinez,"7,000.00",P,YES,CIN,TB,#N/A,TB,CIN,9.5,10,4.5,N. Martinez,,,,,,,,,,,,0,1,0.3,1.22,81,,,,,,
Ramon Laureano,"4,200.00",OF,YES,BAL,COL,#N/A,COL,BAL,9.4,10,14.4,R. Laureano,40%,0%,5,2,0,0,0,0,0.4,0.4,0.8,9,1,0.3,,,,,,,,
Vladimir Guerrero,"5,300.00",1B,YES,TOR,DET,Tor,Tor,DET,9.4,8,13.4,V. Guerrero,0%,0%,3,0,0,0,0,0,0,0,0,3,1,0.3,,,,,,,,
Freddie Freeman,"4,300.00",1B,YES,LAD,BOS,LAD,LAD,BOS,9.3,10,14.3,F. Freeman,67%,33%,2,1,0,0,0,1,0.5,0.667,1.167,7.33,1.7,0.366,,,,,,,,
George Springer,"4,900.00",OF,YES,TOR,DET,Tor,Tor,DET,9.3,8,13.3,G. Springer,100%,33%,3,3,1,0,2,0,1,1,4.333,16.66,2.1,0.385,,,,,,,,
Lawrence Butler,"4,200.00",OF,YES,OAK,HOU,Oak,Oak,HOU,9.3,8,13.3,L. Butler,,,,,,,,,,,,0,2,0.324,,,,,,,,
Nick Kurtz,"4,900.00",1B,YES,OAK,HOU,Oak,Oak,HOU,9.3,8,13.3,N. Kurtz,,,,,,,,,,,,0,2.6,0.409,,,,,,,,
Trea Turner,"5,600.00",SS,YES,PHI,NYY,Phi,Phi,NYY,9.3,10,14.3,T. Turner,0%,0%,3,0,0,0,0,0,0,0,0,3,3,0.352,,,,,,,,
CJ Abrams,"5,300.00",SS,YES,WAS,MIN,WAS,WAS,MIN,9.2,10,14.2,C. Abrams,,,,,,,,,,,,0,3.2,0.368,,,,,,,,
Ronald Acuna,"6,200.00",OF,YES,ATL,TEX,Atl,Atl,TEX,9.2,10,14.2,R. Acuna,25%,0%,7,2,0,0,1,0,0.286,0.375,1.089,12,1,0.3,,,,,,,,
